variable,label,,,,,,,,,,,,,,,,,,,
B05001_001E,Nativity and Citizenship Status in the United States,,,,,,,,,,,,,,,B05001_001,B05001_001M,B05001_001MA,,"""B05001_001M"""
B05001_002E,Nativity and Citizenship Status in the United States,,,,,,,,,,,,,,,B05001_002,B05001_002M,B05001_002MA,,"""B05001_002M"""
B05001_003E,Nativity and Citizenship Status in the United States,,,,,,,,,,,,,,,B05001_003,B05001_003M,B05001_003MA,,"""B05001_003M"""
B05002_001E,Place of Birth by Nativity and Citizenship Status,,,,,,,,,,,,,,,B05002_001,B05002_001M,B05002_001MA,,"""B05002_001M"""
B05002_002E,Place of Birth by Nativity and Citizenship Status,,,,,,,,,,,,,,,B05002_002,B05002_002M,B05002_002MA,,"""B05002_002M"""
B05002_003E,Place of Birth by Nativity and Citizenship Status,,,,,,,,,,,,,,,B05002_003,B05002_003M,B05002_003MA,,"""B05002_003M"""
B05002_004E,Place of Birth by Nativity and Citizenship Status,,,,,,,,,,,,,,,B05002_004,B05002_004M,B05002_004MA,,"""B05002_004M"""
B05002_005E,Place of Birth by Nativity and Citizenship Status,,,,,,,,,,,,,,,B05002_005,B05002_005M,B05002_005MA,,"""B05002_005M"""
B05002_006E,Place of Birth by Nativity and Citizenship Status,,,,,,,,,,,,,,,B05002_006,B05002_006M,B05002_006MA,,"""B05002_006M"""
B05003_001E,Sex by Age by Nativity and Citizenship Status,,,,,,,,,,,,,,,B05003_001,B05003_001M,B05003_001MA,,"""B05003_001M"""
B05003_002E,Sex by Age by Nativity and Citizenship Status,,,,,,,,,,,,,,,B05003_002,B05003_002M,B05003_002MA,,"""B05003_002M"""
B05003_003E,Sex by Age by Nativity and Citizenship Status,,,,,,,,,,,,,,,B05003_003,B05003_003M,B05003_003MA,,"""B05003_003M"""
B05003_004E,Sex by Age by Nativity and Citizenship Status,,,,,,,,,,,,,,,B05003_004,B05003_004M,B05003_004MA,,"""B05003_004M"""
B05005_001E,Period of Entry by Nativity and Citizenship Status in the United States,,,,,,,,,,,,,,,B05005_001,B05005_001M,B05005_001MA,,"""B05005_001M"""
B05005_002E,Period of Entry by Nativity and Citizenship Status in the United States,,,,,,,,,,,,,,,B05005_002,B05005_002M,B05005_002MA,,"""B05005_002M"""
B05005_003E,Period of Entry by Nativity and Citizenship Status in the United States,,,,,,,,,,,,,,,B05005_003,B05005_003M,B05005_003MA,,"""B05005_003M"""
B05006_001E,Place of Birth for the Foreign-Born Population in the United States,,,,,,,,,,,,,,,B05006_001,B05006_001M,B05006_001MA,,"""B05006_001M"""
B05006_002E,Place of Birth for the Foreign-Born Population in the United States,,,,,,,,,,,,,,,B05006_002,B05006_002M,B05006_002MA,,"""B05006_002M"""
B05007_001E,Place of Birth by Year of Entry by Citizenship Status for the Foreign-Born Population,,,,,,,,,,,,,,,B05007_001,B05007_001M,B05007_001MA,,"""B05007_001M"""
B05007_002E,Place of Birth by Year of Entry by Citizenship Status for the Foreign-Born Population,,,,,,,,,,,,,,,B05007_002,B05007_002M,B05007_002MA,,"""B05007_002M"""
B05007_003E,Place of Birth by Year of Entry by Citizenship Status for the Foreign-Born Population,,,,,,,,,,,,,,,B05007_003,B05007_003M,B05007_003MA,,"""B05007_003M"""
B05010_001E,Ratio of Income to Poverty Level in the Past 12 Months by Nativity of Children Under 18 Years in Families and Subfamilies by Living Arrangements and Nativity of Parents,,,,,,,,,,,,,,,B05010_001,B05010_001M,B05010_001MA,,"""B05010_001M"""
B06007_001E,Place of Birth by Language Spoken at Home and Ability to Speak English in the United States,,,,,,,,,,,,,,,B06007_001,B06007_001M,B06007_001MA,,"""B06007_001M"""
B06007_004E,Place of Birth by Language Spoken at Home and Ability to Speak English in the United States,,,,,,,,,,,,,,,B06007_004,B06007_004M,B06007_004MA,,"""B06007_004M"""
